                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57175,                 1.7475,                 1.2175,                0.66867,                0.73587,                0.73852,                0.48479,                0.82197,                 2.1104,                 1.5711,             0.00023655,             0.00023655,             0.00023655
                      2,                0.58754,                 1.0184,                 1.1965,                0.65133,                 0.6544,                0.70453,                0.50566,                0.85665,                 1.5861,                 1.5199,             0.00047161,             0.00047161,             0.00047161
                      3,                0.60791,                0.94402,                 1.2076,                 0.7925,                0.70602,                0.82642,                0.66745,                0.67378,                 1.1042,                 1.3222,             0.00070373,             0.00070373,             0.00070373
                      4,                0.60267,                0.87318,                 1.2064,                0.73535,                0.48274,                0.66356,                0.50876,                0.79195,                 2.1524,                 1.3899,             0.00070075,             0.00070075,             0.00070075
                      5,                0.53279,                0.74528,                 1.1581,                0.66625,                0.87382,                0.85069,                0.72819,                0.57005,                  1.126,                 1.1513,             0.00070075,             0.00070075,             0.00070075
                      6,                0.51626,                0.70335,                 1.1397,                 0.9163,                0.78089,                0.87931,                 0.7125,                0.62873,                0.76494,                 1.2467,             0.00069633,             0.00069633,             0.00069633
                      7,                0.51377,                0.67979,                 1.1381,                0.82069,                0.92297,                 0.9132,                0.81038,                0.50108,                0.57089,                 1.1115,             0.00069191,             0.00069191,             0.00069191
                      8,                 0.4765,                 0.6181,                 1.1162,                0.88002,                0.98972,                0.95803,                0.82731,                 0.5194,                0.50499,                 1.1399,             0.00068749,             0.00068749,             0.00068749
                      9,                0.46854,                0.56615,                 1.1093,                0.87098,                0.95487,                0.98178,                0.88821,                0.46668,                0.43666,                 1.0462,             0.00068307,             0.00068307,             0.00068307
                     10,                0.45393,                0.55557,                 1.0973,                0.92533,                0.95857,                0.98315,                0.91909,                0.40398,                0.48893,                0.97687,             0.00067866,             0.00067866,             0.00067866
                     11,                 0.4339,                0.53345,                 1.0823,                0.94554,                0.98179,                 0.9731,                0.90289,                0.41347,                0.41455,                0.97212,             0.00067424,             0.00067424,             0.00067424
                     12,                 0.4232,                 0.4968,                 1.0793,                0.93422,                0.97612,                0.97652,                0.89977,                0.43969,                0.48496,                 1.0165,             0.00066982,             0.00066982,             0.00066982
                     13,                0.40276,                0.49246,                 1.0615,                0.89435,                0.94773,                0.94894,                0.87557,                  0.414,                0.51964,                 1.0005,              0.0006654,              0.0006654,              0.0006654
                     14,                0.39804,                0.47914,                 1.0569,                0.95011,                0.96406,                0.98457,                0.91318,                0.39622,                 0.4495,                0.95593,             0.00066099,             0.00066099,             0.00066099
                     15,                0.40162,                0.47533,                 1.0595,                0.95728,                0.94629,                0.98782,                0.91985,                0.39719,                  0.395,                0.97341,             0.00065657,             0.00065657,             0.00065657
                     16,                0.39384,                0.45642,                 1.0545,                0.93396,                0.99119,                0.98846,                0.90135,                0.44267,                0.43891,                 1.0197,             0.00065215,             0.00065215,             0.00065215
                     17,                0.38945,                0.43604,                 1.0513,                0.92189,                 0.9837,                 0.9804,                0.90713,                0.38846,                0.37573,                0.96745,             0.00064773,             0.00064773,             0.00064773
                     18,                0.37536,                 0.4283,                 1.0432,                0.90068,                0.99142,                 0.9831,                0.90446,                0.41923,                 0.3965,                0.99061,             0.00064331,             0.00064331,             0.00064331
                     19,                0.37177,                0.41793,                 1.0422,                0.91561,                0.98998,                0.99073,                0.91599,                0.39775,                0.37772,                0.96597,              0.0006389,              0.0006389,              0.0006389
                     20,                0.37383,                0.40592,                 1.0469,                0.90757,                0.99331,                0.99011,                0.93266,                0.35886,                0.32943,                0.92835,             0.00063448,             0.00063448,             0.00063448
                     21,                0.36522,                0.39476,                 1.0395,                0.94511,                0.98301,                0.98867,                0.90772,                0.36848,                0.36963,                0.93819,             0.00063006,             0.00063006,             0.00063006
                     22,                0.35995,                0.39611,                 1.0325,                0.97046,                0.96443,                0.99236,                0.92899,                0.36369,                0.34219,                0.92466,             0.00062564,             0.00062564,             0.00062564
                     23,                0.34738,                0.37661,                 1.0249,                0.95566,                0.94133,                0.98238,                0.91844,                0.38111,                0.40823,                0.95864,             0.00062122,             0.00062122,             0.00062122
                     24,                  0.349,                 0.3867,                 1.0273,                0.94918,                 0.9695,                0.99235,                0.93846,                0.36175,                0.29893,                0.94048,             0.00061681,             0.00061681,             0.00061681
                     25,                0.34538,                0.37382,                   1.02,                 0.9014,                0.98556,                0.97968,                0.92645,                0.35482,                0.39598,                0.92915,             0.00061239,             0.00061239,             0.00061239
                     26,                0.34332,                0.35609,                 1.0212,                0.93748,                0.99041,                 0.9878,                0.93385,                0.37736,                0.36574,                0.94889,             0.00060797,             0.00060797,             0.00060797
                     27,                0.34107,                0.36003,                 1.0152,                0.92739,                0.98001,                0.98579,                0.91659,                0.36114,                0.35343,                0.92156,             0.00060355,             0.00060355,             0.00060355
                     28,                0.33572,                 0.3554,                 1.0161,                0.95596,                0.94356,                0.98984,                0.92014,                0.42035,                0.35499,                 0.9855,             0.00059914,             0.00059914,             0.00059914
                     29,                0.33327,                0.35328,                 1.0077,                0.93916,                0.98085,                0.96426,                0.91139,                0.34879,                 0.3382,                0.91942,             0.00059472,             0.00059472,             0.00059472
                     30,                0.33629,                0.35089,                 1.0172,                0.95224,                0.98009,                0.98325,                0.91834,                 0.3487,                0.35798,                0.91997,              0.0005903,              0.0005903,              0.0005903
                     31,                0.32435,                0.33463,                 1.0056,                0.94924,                0.99409,                0.99018,                0.93996,                0.35629,                0.35728,                0.92506,             0.00058588,             0.00058588,             0.00058588
                     32,                 0.3257,                0.33729,                 1.0139,                0.95118,                0.98076,                0.98893,                0.92504,                0.36003,                0.33993,                0.92304,             0.00058146,             0.00058146,             0.00058146
                     33,                0.32552,                0.33748,                   1.01,                0.95519,                0.99512,                0.98309,                0.93375,                0.32894,                0.35826,                0.88654,             0.00057705,             0.00057705,             0.00057705
                     34,                0.32402,                0.33218,                 1.0082,                0.91979,                0.98353,                 0.9885,                0.93861,                0.33042,                0.31671,                0.88784,             0.00057263,             0.00057263,             0.00057263
                     35,                0.31515,                0.32262,                 1.0031,                0.92226,                0.99192,                0.97371,                0.91206,                0.34957,                0.36985,                0.92503,             0.00056821,             0.00056821,             0.00056821
                     36,                 0.3164,                 0.3216,                 1.0057,                0.94699,                 0.9901,                0.98692,                 0.9435,                0.32296,                0.33412,                0.89052,             0.00056379,             0.00056379,             0.00056379
                     37,                0.31217,                0.32114,                0.99678,                0.94862,                0.99551,                0.98248,                0.94559,                0.33411,                0.33927,                0.89406,             0.00055937,             0.00055937,             0.00055937
                     38,                0.31528,                0.31181,                 1.0036,                 0.9433,                0.98693,                0.98813,                0.94835,                0.33606,                0.33543,                0.90415,             0.00055496,             0.00055496,             0.00055496
                     39,                0.30609,                0.31848,                0.99573,                0.95644,                0.97167,                  0.979,                0.93352,                0.34946,                0.32666,                0.90869,             0.00055054,             0.00055054,             0.00055054
                     40,                  0.296,                0.30222,                0.99024,                0.93722,                0.98727,                0.98867,                0.93138,                0.36637,                0.36385,                0.95116,             0.00054612,             0.00054612,             0.00054612
                     41,                0.30869,                0.32306,                0.99451,                0.95762,                 0.9864,                0.99121,                0.95324,                  0.325,                0.33105,                0.88531,              0.0005417,              0.0005417,              0.0005417
                     42,                0.29902,                0.30586,                0.99531,                0.94209,                0.98215,                0.98965,                0.93093,                0.34711,                0.33884,                0.90135,             0.00053728,             0.00053728,             0.00053728
                     43,                0.30047,                0.30637,                0.99656,                0.95058,                0.99587,                0.99172,                0.95063,                0.33244,                0.31451,                0.89997,             0.00053287,             0.00053287,             0.00053287
                     44,                 0.3089,                0.30502,                 1.0008,                0.95033,                0.98563,                0.97935,                0.93986,                0.34179,                0.36883,                0.91004,             0.00052845,             0.00052845,             0.00052845
                     45,                0.29072,                0.29367,                0.98838,                0.92467,                 0.9969,                0.98778,                0.95053,                0.32036,                0.31984,                0.88681,             0.00052403,             0.00052403,             0.00052403
                     46,                0.29723,                0.29776,                0.98852,                0.95333,                0.99283,                0.98791,                 0.9454,                0.32929,                0.32206,                0.89589,             0.00051961,             0.00051961,             0.00051961
                     47,                0.28964,                0.30003,                0.99423,                 0.9341,                 0.9855,                 0.9906,                0.94178,                0.32326,                0.30781,                0.88651,              0.0005152,              0.0005152,              0.0005152
                     48,                 0.2924,                0.28863,                0.98941,                0.95893,                0.98779,                 0.9917,                0.94081,                0.33682,                0.30535,                0.90856,             0.00051078,             0.00051078,             0.00051078
                     49,                 0.2886,                0.29172,                 0.9869,                0.90342,                0.99615,                0.97715,                0.92696,                0.33253,                0.37547,                0.90719,             0.00050636,             0.00050636,             0.00050636
